Company;Year;Type
PSP Swiss Property;2010;AR-DE
PSP Swiss Property;2011;AR-DE
PSP Swiss Property;2012;AR-DE
PSP Swiss Property;2013;AR-DE
PSP Swiss Property;2013;AR-EN
PSP Swiss Property;2014;AR-DE
PSP Swiss Property;2014;AR-EN
PSP Swiss Property;2014;CR-DE
PSP Swiss Property;2014;FR-DE
PSP Swiss Property;2014;SR-DE
PSP Swiss Property;2015;AR-DE
PSP Swiss Property;2015;AR-EN
PSP Swiss Property;2015;CR-DE
PSP Swiss Property;2015;FR-DE
PSP Swiss Property;2015;SR-DE
PSP Swiss Property;2016;AR-DE
PSP Swiss Property;2016;AR-EN
PSP Swiss Property;2016;CR-DE
PSP Swiss Property;2016;FR-DE
PSP Swiss Property;2016;SR-DE
PSP Swiss Property;2017;AR-DE
PSP Swiss Property;2017;AR-EN
PSP Swiss Property;2017;FR-DE
PSP Swiss Property;2017;SR-DE
Richemont;1989;AR-EN
Richemont;1990;AR-EN
Richemont;1991;AR-EN
Richemont;1992;AR-EN
Richemont;1993;AR-EN
Richemont;1994;AR-EN
Richemont;1995;AR-EN
Richemont;1996;AR-EN
Richemont;1997;AR-EN
Richemont;1998;AR-EN
Richemont;1999;AR-EN
Richemont;2000;AR-EN
Richemont;2001;AR-EN
Richemont;2002;AR-EN
Richemont;2003;AR-EN
Richemont;2004;AR-EN
Richemont;2005;AR-EN
Richemont;2006;AR-EN
Richemont;2007;AR-EN
Richemont;2008;AR-EN
Richemont;2009;AR-EN
Richemont;2010;AR-EN
Richemont;2011;AR-EN
Richemont;2012;AR-EN
Richemont;2012;SR-EN
Richemont;2013;AR-EN
Richemont;2013;SR-EN
Richemont;2014;AR-EN
Richemont;2014;SR-EN
Richemont;2015;AR-EN
Richemont;2015;SR-EN
Richemont;2016;AR-EN
Richemont;2016;SR-EN
Richemont;2017;AR-EN
Richemont;2017;SR-EN
Richemont;2018;AR-EN
Roche;2004;AR-DE
Roche;2005;AR-DE
Roche;2005;FR-DE
Roche;2006;AR-DE
Roche;2006;FR-DE
Roche;2007;AR-DE
Roche;2007;FR-DE
Roche;2009;AR-DE
Roche;2009;FR-DE
Roche;2010;AR-DE
Roche;2010;FR-DE
Roche;2011;AR-DE
Roche;2011;FR-DE
Roche;2012;AR-DE
Roche;2012;FR-DE
Roche;2013;AR-DE
Roche;2013;FR-DE
Roche;2014;AR-DE
Roche;2014;FR-DE
Roche;2015;AR-DE
Roche;2015;FR-DE
Roche;2016;AR-DE
Roche;2016;FR-DE
Roche;2017;AR-DE
Roche;2017;FR-DE
Roche;2018;AR-DE
Roche;2018;FR-DE
SBB;2004;AR-DE
SBB;2005;AR-DE
SBB;2006;AR-DE
